Skill_Name,Curriculum_Coverage,Industry_Demand,Job_Frequency,Expert_Importance,Gap_Status
Spring Boot_1,0,0,4,1,Aligned
ExpressJS_2,5,0,10,5,Aligned
Cyber Security_3,0,4,6,0,Aligned
React_4,1,1,8,4,Aligned
DevOps_5,1,5,10,5,Gap
Cyber Security_6,3,1,7,4,Aligned
AWS_7,0,1,6,2,Gap
MongoDB_8,1,2,1,0,Gap
Angular_9,2,2,9,2,Aligned
Problem Solving_10,3,4,1,3,Aligned
DevOps_11,2,5,9,2,Aligned
System Design_12,0,0,10,1,Gap
React_13,1,0,6,2,Gap
Spring Boot_14,2,1,5,2,Aligned
Redis_15,2,5,10,5,Gap
JavaScript_16,4,5,2,4,Aligned
MySQL_17,3,3,4,5,Aligned
Microservices_18,4,1,10,2,Aligned
Leadership_19,0,1,0,2,Gap
AWS_20,0,1,9,5,Gap
Operating Systems_21,5,3,6,5,Aligned
Tableau_22,1,2,2,1,Gap
Communication_23,4,3,9,3,Aligned
Linux_24,1,1,8,3,Aligned
Teamwork_25,0,0,2,5,Aligned
Kafka_26,3,4,1,3,Gap
Flask_27,3,4,4,4,Aligned
Kafka_28,5,0,10,4,Aligned
Teamwork_29,2,5,5,0,Gap
Data Science_30,1,3,0,5,Gap
Bootstrap_31,1,4,1,5,Gap
Spring Boot_32,4,4,3,1,Gap
Teamwork_33,1,4,8,0,Gap
CSS_34,0,0,5,2,Aligned
C_35,1,4,1,0,Gap
JavaScript_36,4,1,2,5,Aligned
HTML_37,4,1,4,4,Aligned
Flask_38,3,1,8,5,Aligned
Microservices_39,1,5,4,3,Gap
Power BI_40,4,3,1,1,Aligned
Computer Networks_41,0,2,0,4,Aligned
PyTorch_42,1,0,1,5,Aligned
Computer Networks_43,0,0,5,0,Aligned
AWS_44,5,3,3,4,Aligned
ExpressJS_45,5,4,9,3,Aligned
HTML_46,3,1,1,0,Aligned
Redis_47,3,2,6,3,Aligned
Tableau_48,5,0,10,5,Aligned
Firebase_49,0,0,6,5,Gap
Angular_50,1,1,3,4,Gap
ExpressJS_51,3,1,4,3,Aligned
DBMS_52,0,3,8,0,Aligned
Firebase_53,4,0,1,1,Aligned
MySQL_54,3,3,7,1,Aligned
Deep Learning_55,0,1,6,0,Gap
Cloud Computing_56,3,2,6,5,Aligned
Problem Solving_57,4,5,7,1,Aligned
Azure_58,1,0,9,5,Aligned
Communication_59,2,0,0,4,Gap
Bootstrap_60,4,1,0,4,Aligned
React_61,1,0,9,0,Aligned
Deep Learning_62,0,4,3,4,Aligned
Django_63,0,3,10,4,Gap
Cloud Computing_64,1,5,5,1,Gap
Deep Learning_65,1,5,10,2,Gap
Kubernetes_66,0,0,7,4,Aligned
JavaScript_67,4,1,8,2,Aligned
ExpressJS_68,2,0,3,2,Gap
MySQL_69,3,4,4,4,Aligned
Redis_70,4,2,10,0,Aligned
ExpressJS_71,2,0,1,5,Aligned
AWS_72,2,4,3,5,Gap
Operating Systems_73,5,5,4,4,Gap
Cloud Computing_74,0,0,10,3,Gap
C++_75,0,2,2,5,Gap
MySQL_76,5,3,8,5,Aligned
Data Science_77,4,0,1,0,Aligned
Microservices_78,1,4,0,2,Aligned
Data Science_79,1,0,4,2,Aligned
GitHub_80,1,5,3,5,Aligned
GitHub_81,4,3,9,5,Aligned
MongoDB_82,1,1,2,3,Aligned
PostgreSQL_83,5,2,6,5,Aligned
Communication_84,1,2,2,5,Aligned
Machine Learning_85,0,3,3,1,Gap
GitHub_86,2,1,3,0,Aligned
Deep Learning_87,2,2,1,2,Gap
Firebase_88,4,3,10,4,Aligned
Git_89,0,0,4,1,Gap
C++_90,0,4,6,2,Gap
Data Science_91,4,4,1,3,Aligned
Cloud Computing_92,0,5,6,0,Aligned
Linux_93,3,0,10,2,Aligned
Django_94,2,5,1,5,Gap
Bootstrap_95,2,5,6,2,Gap
Microservices_96,2,4,2,1,Gap
Redis_97,3,5,2,4,Gap
Deep Learning_98,4,0,4,2,Aligned
Operating Systems_99,3,4,9,5,Gap
Tableau_100,3,3,10,1,Aligned
